Nama,cluster_ind_fastrp_256
AGUNG HADI TJAHJANTO,3
AGUNG PRABOWO,3
AGUNG PRAMBUDI,1
AGUNG SAMPURNA,1
AGUNG SURYAMAL,0
AGUS,1
AGUS BENJAMIN,1
AGUS CAHYONO ADI,1
AGUS DIDONG,3
AGUS DW MARTOWARDOJO,1
AGUS DWI HANDAYA,1
AGUS FAUZI,0
AGUS HARIONO IBRAHIM,3
AGUS JAKA PRASAJA,3
AGUS KURNIAWAN,3
AGUS LASMONO,3
AGUS MAKMUR,3
AGUS MULYANTO,3
AGUS NIZAR VIDIANSYAH,3
AGUS NOORSANTO,3
AGUS NURSALIM,1
AGUS PRAMONO,3
AGUS PRASETYA B,0
AGUS PRASETYONO,1
AGUS PUJIANTO,0
AGUS SALIM,1
AGUS SALIM PANGESTU,0
AGUS SATRIA UTARA,1
AGUS SETIADI LUKITA,2
AGUS SOEGIARTO,3
AGUS SUPIRMAN,0
AGUS SUPRIYADI,3
AGUS SUPRIYANTO,0
AGUS SUSANTO,1
AGUS SUTOPO,0
AGUS WIDAGDO,2
AGUS WIDJAJA RAHAEDJO,1
AGUS WIJAYANTO,1
AGUS WINARNO,1
AGUSMAN,1
AGUSTINUS BAMBANG PUDJIANTO,1
AGUSTINUS LIAUW,0
AGUSTINUS PRAYITNO,1
AGUSTUS SANI NUGROHO,0
AHADIAT WARGANA,3
AHMAD ABDULLAH ALYDRUS,3
AHMAD AL FAROUK BIN AHMAD KAMAL,3
AHMAD FADLI KARTAJAYA,3
AHMAD FAHMI,1
AHMAD HAKIM,3
AHMAD HILYADI,0
AHMAD LUSSY,1
AHMAD MASHURI,3
AHMAD NURJAMAN,0
AHMAD RAHADIAN WIDARMANA,1
AHMAD SACHRONI,3
AHMAD SOLICHIN LUTFIYANTO,3
AHMAD TRIAHDANI,3
AHMAD YUNALDI,0
AIDA GARNIDA,2
AINUL YAQIN,1
AJAY PESSUMAL FULWANI,0
AJI PRASETYANTI,0
AKAM,3
AKASHA WIRA INTERNATIONAL TBK,3
AKHABANI,1
AKHMAD PURWAKAJAYA,3
AKHMAD SYAKHROZA,1
AKIHIKO HIRATA,1
AKIHISA FUKUDA,0
AKSHAY GARG,3
AL ALAN RACHMAT BUDIMAN,1
ALAKASA INDUSTRINDO TBK,0
ALAM SUTERA REALTY TBK,3
ALAMBERTUS,0
ALAMSJAH,2
ALAMSYAH,2
ALAMSYAH SATYANEGARA SUKAWIJAYA,1
ALAMTRI RESOURCES INDONESIA TBK,0
ALAN JULIAN JIANG,1
ALASTAIR GORDON CHRISTOPHER MCLEOD,3
ALBERT,3
ALBERT AMANTA,1
ALBERT KANDIAWAN,3
ALBERT KUSUMA LIM,1
ALBERT SAPUTRO,0
ALBERT WIDAKDO SUTANTO,1
ALBERTH KINDANGEN,1
ALBERTO LENI,0
ALBERTUS AGUNG CATURPUTRA NG,0
ALBERTUS BANUNAEK,0
ALBERTUS HARIONO,0
ALBERTUS PRATOMO,3
ALBERTUS YULIAN HERY ERNANTO,1
ALDI IMAM WIBOWO,1
ALDO HENRY ARTOKO,3
ALDO JUSUF TJAHAJA,0
ALDO KURNIAWAN,3
ALEN BOBY HARTANTO,3
ALESSIA PUTRI BRASALI,0
ALEX BUDIARJO,0
ALEX IVAN TANOYO,1
ALEX WIDJAJA,0
ALEXANDER ADRIAN HITIPEUW,1
ALEXANDER AGUNG PRANOTO,3
ALEXANDER ANWAR,1
ALEXANDER DIPPO PARIS Y S,3
ALEXANDER EFFENDY,0
ALEXANDER ERY WIBOWO,3
ALEXANDER FADJAR KURNIAWAN,3
ALEXANDER FRANS RORI,2
ALEXANDER GRENZ,3
ALEXANDER HALIM KUSUMA,3
ALEXANDER HIDAJAT,3
ALEXANDER PRAWIRO BAYU SAPUTRO,1
ALEXANDER RUSLI,3
ALEXANDER SAYIDIMAN,3
ALEXANDER TANZIL,3
ALEXANDER TEDJA,1
ALEXANDERSON PARMON,0
ALEXANDRA,1
ALEXANDRA ASKANDAR,3
ALEXANDRA BUSTAMI,1
ALEXANDRA YOTA DINARWANTI,2
ALEXSANDRA SUTIKNO,1
ALFATIANA AVIANTI ADOE,3
ALFAY RAUF DIAH,1
ALFIAN RIVAI,1
ALFONSUS ARDIAN SOELISTIO,0
ALFRED FRIEDRICH ANDREAS KELLER,0
ALFRED ING FAHRINGER,0
ALI BIN SAID ABDAT,1
ALI CHENDRA,1
ALI EFENDI,3
ALI GUNAWAN,2
ALI GUNAWAN BUDIMAN,1
ALI MAZI,3
ALI SUSANTO,0
ALI TARIGAN,3
ALIM MARKUS,0
ALIM PRAKASA,1
ALING HERMAWAN,3
ALISSA QOTRUNNADA MUNAWAROH WAHID,1
ALITA DINAMIKA PERSADA,1
ALIYAH SIANNE SALIM,1
ALJAS KAMALFASHA,3
ALKIE SAMUEL SUTANDRA,1
ALKINDO NARATAMA TBK,0
ALKIS FUADY M,0
ALLAN GAUTAMA,1
ALLEN SURYADIPURA WIDJAJA,1
ALMETA PANDORA DISA,0
ALOYSIUS HENRY WIBISONO,3
ALOYSIUS KIIK RO,3
ALUMINDO LIGHT METAL INDUSTRY TBK,0
ALVI SYAHRI RAMADHAN NASUTION,0
ALVIN GOZALI,3
ALVIN GUNAWAN,1
ALVIN W SARIAATMADJA,3
ALWI RUBIDIUM SJAAF,1
ALWI SETIAWAN,3
ALWIE HANDOYO,1
ALWIN ARIFIN,0
ALYSHA CHANDRA SAID,1
AMADEO NAVALTA BEJEC,3
AMAR PARSRAM KALWANI,0
AMELIA GOZALI,0
AMELIA RITONI TJHIN,1
AMELIA THE,1
AMELIA WIDJAJA,3
AMIEN GONDOSABDONO,1
AMIEN SUNARYADI,3
AMIN DELIMA,3
AMIR PHENDY,1
AMIR SUNARKO,2
AMIRA GANIS,3
AMIRSYAH RISJAD,2
AMIRUDDIN ARRIS,2
AMIRUL MUTAMAR,1
AMIT LOHIA,1
AMOS DONALD GOTEK HONG,3
AMRI NGADIMAN,3
AMRI SIAHAAN,3
AMRIT CHANDARBAN LAKHIANI,3
AMRITA RANDHAWA,3
AMRUL TANTYO TAN,3
AMRULLAH,0
AMSYAH SEBAYANG,0
AMY DELIA,0
AN KYONG WON,3
ANAK AGUNG GEDE SUMADI,3
ANALTA AMIER,1
ANANDA RAJA,1
ANANG BASRI,3
ANANG PRATIKNO,3
ANANT MADHUKAR YARDI,1
ANANTO,3
ANAS MARUF,1
ANASTASIA SIWY,3
ANASTASIA SULISTYAWATI,2
ANASTASSIA LIEM,3
ANCORA INDONESIA RESOURCES TBK,1
ANDARU SURYA GAUTAMA,1
ANDEREAS,1
ANDERSON SUMARLLI,3
ANDI AGUS AMAAN ODDEK,0
ANDI FAHRURROZI,2
ANDI GUNANTO,0
ANDI JAYA,0
ANDI KURNIAWAN SYAH ALIM,1
ANDI MUHAMMAD SOLEH,1
ANDI NOVA SUZANAR,0
ANDI NUGROHO,0
ANDI PRAZOS,1
ANDI W SETIANTO,0
ANDI WIDJAJA,3
ANDI ZULFIKAR,1
ANDIN HADIYANTO,1
ANDIYANTO WARDHANA,3
ANDRA SONI,1
ANDRAE KRISHNAWAN W,1
ANDRE,3
ANDRE ARIEF LEMBONG,3
ANDRE DAHAN,1
ANDRE FRANKLIN SAHELANGI,1
ANDRE HANDHIKA TESSAPUTRA THE,3
ANDRE KHOR KAH HIN,0
ANDRE SOELISTYO,0
ANDRE SUKENDRA ATMADJA,0
ANDRE TANOTO,1
ANDRE WIDJAJA,0
ANDREA YURIZA,1
ANDREANSYAH PUTUT WISANGGENI,1
ANDREAS ADHI HARSANTO,0
ANDREAS ADITYO PURWONUGROHO,0
ANDREAS CHANDRA KURNIAWAN,0
ANDREAS CHRISTIANTO,1
ANDREAS CHUNGDRIYANTO,3
ANDREAS HARUN DJUMADI,3
ANDREAS MIKHAEL SUMUAL,2
ANDREAS SUDARTO SAMIADJI,0
ANDREAS SURYA NUGRAHA,3
ANDREAS TJAHJADI,0
ANDREAS WIDHATAMA KURNIAWAN,3
ANDREAS WIHARDJA,3
ANDREE,3
ANDREW HIDAYAT,1
ANDREW K LABBAIKA,1
ANDREW KUKKUTAHLIE LABBAIKA,1
ANDREW MICHAEL VINCENT,1
ANDREW NASURI,3
ANDREW NOVI GUNAWAN,1
ANDREW PHILLIP STARKEY,0
ANDREW PUTRA SUNARKO,3
ANDREW SANUSI,1
ANDREW SETIAWAN,1
ANDRI BUDIMAN,1
ANDRI CAHYADI,1
ANDRI FITRI YANTO,0
ANDRI HIDAYAT,1
ANDRI HIMAWAN SANTOSO,3
ANDRI SATIA WANGSADIRDJA,1
ANDRI WIJONO SUTIONO,1
ANDRIAN EKA PUTRA,3
ANDRIAN GUNAWAN,3
ANDRIANO HOSNY PANANGIAN,1
ANDRIANSYAH,1
ANDRIANSYAH PRAYITNO,3
ANDRIANTO OETOMO,2
ANDRIANTO PUTERA TIRTAWISATA,0
ANDRIANTO SYLVIANO,0
ANDRIJANTO,0
ANDRIJANTO MULJONO,3
ANDRY BUDIMAN LIMAWAN,3
ANDRY YUNUS,1
ANDRY YUWONO,0
ANDY ADHIWANA,1
ANDY ANANTAPUTRA SUARDANA,3
ANDY GUNAWAN,1
ANDY GUSENA,0
ANDY INDIGO,3
ANDY KELANA,3
ANDY NGADIMIN,1
ANDY PRANOTO,3
ANDY SASONGKO,1
ANDY SHAWPINDO,1
ANDY SOESANTO,0
ANDY SOTAR SIMANJUNTAK,3
ANDY TAMIN,1
ANDY TANGKAS PARLINGGOMAN,0
ANDY WIDJAJA,3
ANDY WILLIAM,1
ANEKA TAMBANG TBK,2
ANFARUDIMAN SURYA SUNARDI,3
ANG ANDRI PRIBADI,3
ANG BENNY SHAWPINDO,1
ANG KIAM CHAI,3
ANG KINARDO,0
ANG PHEK TUAN,1
ANG TJIU BU,0
ANGELICA TANISIA JOZAR,3
ANGELINA,1
ANGELINA GUNAWAN,1
ANGELITA GUNAWAN,1
ANGGA ANDHOKO,3
ANGGA DWIMAS,0
ANGGA KUSUMAH,1
ANGGA RAKA PRABOWO,1
ANGGIE T ARDHANARESWARI,3
ANGGORO EKO CAHYO,1
ANGGORO KASIH DALI SUTRESNO,1
ANGKA JAYADI,0
ANGOLA ANGGRAINI,1
ANGRETA CHANDRA,0
ANHAR SUDRADJAT,0
ANIMAN HUTAPEA,1
ANINDYA NOVYAN BAKRIE,0
ANIRBAN ASIT KUMAR GHOSH,0
ANITA,1
ANITA ANG,1
ANITA ANWAR,1
ANNE PATRICIA SUTANTO,3
ANNIE TANMIZI,0
ANNISA MAHARANI,3
ANNY GOEMOELJO,3
ANNY TJANDRA,0
ANTEK,3
ANTHONI SALIM,3
ANTHONY HONORIS,3
ANTHONY NICHOLAS SEYMOUR HAMPTON,0
ANTHONY PRABOWO SUSILO,2
ANTHONY PRADIPTYA,1
ANTHONY R MATHIAS,3
ANTHONY SALIM,1
ANTHONY SOEHARTONO,2
ANTHONY VALENTINE MC EVOY,1
ANTOINE BERNARD DE SAINT AFFRIQUE,0
ANTOINE JEAN JACQUES ARNAULD BERNARD DE SAINT,0
ANTON ADITYA SUBOWO,3
ANTON BUDIDJAJA,1
ANTON BUDIMAN,3
ANTON GOENAWAN,1
ANTON KEMAL TASLI KUMONTY,1
ANTON RIJANTO,3
ANTON SANTOSO,3
ANTON SEBASTIAN,1
ANTON SETIAWAN,3
ANTON STEFIAN DWI KRISTANTO,3
ANTON SUKARNA,1
ANTON TIMBANG,1
ANTONI GUNAWAN,0
ANTONIO BARRY,3
ANTONIUS,1
ANTONIUS AGUS SUSANTO,3
ANTONIUS FERRY BASTIAN,1
ANTONIUS GOANA,3
ANTONIUS HARWANTO SS,2
ANTONIUS HIOE,3
ANTONIUS HOTI,1
ANTONIUS PRABOWO,1
ANTONIUS PRIHANTO HARIORAHARDJO,0
ANTONIUS PUTUT SAPTOTRI,3
ANTONIUS RESEP TYAS ARTONO,1
ANTONIUS RIYANTO SAPUTRO,3
ANTONIUS SETIAWAN,3
ANTONIUS SIMANJUNTAK,1
ANTONIUS WIDODO MULYONO,1
ANTONY,0
ANTONY SUSILO,3
ANTONY SUTONO,0
ANTONYO HARTONO TANUJAYA,0
ANTTI JUHANI HERLIN,3
ANUVAT CHALERMCHAI,3
ANWAR LAWDEN,0
ANWAR TAY,1
APEXINDO PRATAMA DUTA TBK,2
APING JOHANES CHORMAN,1
AQILA RAHMANI,3
AQUARIUS RUDIANTO,3
ARCHIED NOTO PRADONO,3
ARDHYANTO BUDIRACHMAN,1
ARDI KUSUMA,3
ARDI PRAKOSO,3
ARDIANSYAH,1
ARESDI MAHDI ASYATHRY,3
ARFIAN TRIADI SUSETYO,3
ARGHA KARYA PRIMA IND. TBK,2
ARGO PANTES TBK,1
ARI ASMOKO,3
ARI DARYATA SINGGIH,2
ARI HUTOMO TEDJA SURYA,0
ARI KUNCORO,1
ARI RIZALDI,1
ARI SUTANTO,1
ARI SUTRISNO,3
ARI YANUANTO ASAH,2
ARIA EDDY K,2
ARIANTO OETOMO,2
ARIANTO SABTONUGROHO RUDJITO,2
ARIE ARDIAN MENARO,1
ARIE KUSUMASTUTI MARIA,1
ARIE WINARDI,2
ARIEF ADHI SANJAYA,1
ARIEF ADINOTO,3
ARIEF BUDIMAN,3
ARIEF ISMAIL,3
ARIEF KURNIA RISDIANTO,3
ARIEF PRAMUHANTO,3
ARIEF PRIJATNA,1
ARIEF SETIAWAN HANDOKO,3
ARIEF SUDARTO,3
ARIEF SUGIANTO,3
ARIEF SUGIYO,3
ARIEF TARUNAKARYA SUROWIDJOJO,1
ARIEF TENDEAS,2
ARIEF WISNU PUTRO,3
ARIEL WIBISONO,3
ARIES LIMAN,0
ARIES ONGKOWIJOYO,0
ARIF BUDIMAN,1
ARIF BUDIMANTA,1
ARIF KURNIAWAN,0
ARIF PATRICK RAHMAT,1
ARIF RACHMAT,3
ARIF RACHMAT KURNIAWAN,0
ARIF SASMITO,3
ARIF SUHARTOJO,1
ARIF SUHARTONO,1
ARIF SUHERMAN,0
ARIF SUHIRMAN,3
ARIF THENU,0
ARIF WACHJUNADI,0
ARIFIN,0
ARIFIN BAKRI,3
ARIFIN PANIGORO,3
ARINI SARASWATI SUBIANTO,0
ARINI SARASWATY SUBIANTO,0
ARIO WIBISONO,1
ARIONO DARMAWANGSA,0
ARIPIN DJUNID SINANG,0
ARISTIKA BUDIHARTO,1
ARISTYO RAHADIYAN,3
ARIYA CHANDRA,1
ARIYANTI PELITA SARI,3
ARIYO ALI SUPRAPTO,3
ARIYO TEJO,0
ARJOSO WISANTO,3
ARMAN DHARMA LAKSANA,1
ARMAN FAHRURROZI,0
ARMAN TANTINUS,1
ARMAND WAHYUDI HARTONO,1
ARMEN ANTONIUS DJAN,1
ARNOLD GIOVANNI,1
ARPIAN,0
ARSAL ISMAIL,1
ARSO RIADI,0
ARTAWAT UDOMPHOLKUL,1
ARTHAVEST TBK,0
ARTHUR ANGELO SYAILENDRA,1
ARTHUR PRAKASA BRATANATA,3
ARUWAN SOENARDI,1
ARVI PERWIRA,0
ARVIN FIBRIANTO ISKANDAR,3
ARVIN JAHJA TJAHJANA,1
ARWANA CITRAMULIA TBK,1
ARY HENRYANTO,3
ARY SULISTYO VAMBUDI,1
ARYA NARAYANA SOEMALI,0
ARYA PRADANA SETIADHARMA,3
ARYA RIZQI DARSONO,3
ARYANTI,1
ARYANTO AGUS MULYO,3
ASAHIMAS FLAT GLASS TBK,3
ASDO ARTRIVIYANTO,3
ASEP DADANG,1
ASEP DENI MUHAMAD SIDIK,0
ASEP ENDIH NURHIDAYAT,3
ASEP PAHRU,3
ASHISH GUPTA,0
ASHOK MITRA,0
ASIA PACIFIC FIBERS TBK,0
ASIA PARAMITA INDAH,0
ASIANA SENOPATI,1
ASIAPLAST INDUSTRIES TBK,3
ASJHARI CAHYADI,3
ASKOLANI,1
ASRI AGUNG PUTRA,3
ASRI MUKHTAR,0
ASRUDDIN,1
ASTINI BERNAWATI OUDANG,3
ASTRA AGRO LESTARI TBK,0
ASTRA GRAPHIA TBK,0
ASTRA OTOPARTS TBK,0
ASTRAWATI ALUWI,3
ASTUTI,1
ASURANSI BINA DANA ARTA TBK,2
ASURANSI BINTANG TBK,1
ASURANSI DAYIN MITRA TBK,3
ASURANSI HARTA AMAN PRATAMA TBK,2
ASURANSI JASA TANIA TBK,1
ASURANSI MULTI ARTHA GUNA TBK,1
ASURANSI RAMAYANA TBK,1
ASWIN ADITIAWAN,3
ASWIN DEM,3
ATANG SUHARDI,3
ATEP NANDANG SUBANDAR,1
ATIFF IBRAHIM GILL,1
ATLAS RESOURCES TBK,1
ATMODJO SANTOSO,0
ATSUSHI HINO,3
AU BINTORO,3
AULIA FIRDAUS,0
AURELIEN MARIE PASCAL DOMINIQUE SONET,3
AVI LEVIN,1
AVIASKA DIAH RESPATI H,2
AVILIANI,2
AWALUDIN BASRIYANTO GANTO,0
AWAN NURMAWAN NUH,3
AWI LAW,3
AXEL SUTANTIO,3
AXEL TOBIAS JOEL,1
AXTON SALIM,2
AYDA SULIANTI,1
AYFEN YULIANAJAO AIJ FUNG,0
AYI SUBARNA,3
AYNI,3
AYU PATRICIA RACHMAT,0
AYU PUSPITALENA RTR,3
AZIM HASHAM PREMJI,1
AZIS ARMAND,3
AZIZ ABDUL MALIK,1
AZMIL RAHMAN,1
AZRIELL RIO XAVIER,3
AZRUL ANANDA,1
B R IRAWATI SETIADY,1
B RAKSAKA MAHI,1
BACELIUS RURU,2
BACHRUM KARIM,3
BACHTIAR KARIM,3
BAEK BOK IN,1
BAGAS DWI CAHYO,1
BAGUS DWIPOYONO,3
BAGUS PURBOYO,0
BAGUS SETIAGUNG BUDI SANTOSO,0
BAGUS TRI SETYANA,0
BAHAR,0
BAHARI KARIM,3
BAHAUDIN NASUTION,3
BAKRIE SUMATERA PLANTATIONS TBK,0
BAKRIELAND DEVELOPMENT TBK,0
BALBIR KELLY BISLA,3
BAMBANG,1
BAMBANG ADI PRASTYO,3
BAMBANG BUDIARTO,1
BAMBANG CAHYADI D,1
BAMBANG EDIYANTO,0
BAMBANG HARTONO,1
BAMBANG HARYMURTI,1
BAMBANG HENDRAJATIN,3
BAMBANG HUSODO,2
BAMBANG IRAWAN HENDRADI,0
BAMBANG ISMAWAN,1
BAMBANG MUR DIANTO,0
BAMBANG NURCAHYO,3
BAMBANG PRIJONO,3
BAMBANG PRIJONO SUSANTO PUTRO,3
BAMBANG PRIJONOHADI,3
BAMBANG SETIAWAN,2
BAMBANG SETIYONO,0
BAMBANG SOEGIHARTO,3
BAMBANG SOETIONO S,0
BAMBANG SUBAGIO WIYONO,1
BAMBANG SUMANTO,3
BAMBANG SUMARGONO,3
BAMBANG SUSILO,3
BAMBANG SUTANTIO,3
BAMBANG WIDIANTO TIRTAWIGOENA,1
BAMBANG WIDIARTO,3
BAMBANG WIDJANARKO E S,0
BAMBANG WIDYATMOKO,1
BANK ARTHA GRAHA INTERNASIONAL TBK,0
BANK BUMI ARTA TBK,3
BANK MEGA TBK,2
BANK OF INDIA INDONESIA TBK,1
BANK PAN INDONESIA TBK,0
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,3
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK,3
BANK PERMATA TBK,1
BANK SINARMAS TBK,1
BANK VICTORIA INTERNATIONAL TBK,1
BARAMULTI SUKSESSARANA TBK,3
BARITO PACIFIC TBK,0
BARITONO PRAJOGO PANGESTU,0
BARLI HASAN,1
BASF,3
BASUKI SURODJO,1
BATAVIA PROSPERINDO INVESTAMA,3
BAYAN RESOURCES TBK,3
BAYU BUANA TBK,3
BAYU DANI DANARTO S,1
BAYU IRIANTO,0
BAYU PRIAWAN DJOKOSOETONO,2
BAYU WICAKSONO,1
BEATRICE KARTIKA,0
BEKASI FAJAR INDUSTRIAL ESTATE TBK,3
BELINDA NATALIA,2
BELLAMY SUHENDRA,0
BEN ARISTARCHUS WIDYATMODJO,0
BENDUT HARIBOWO,3
BENEDICT RADITYO UTOMO,3
BENEDIKTA MARITZA,1
BENGAWAN CIANG,3
BENIYANTO,0
BENJAMIN JIARAVANON,3
BENNI CHRISTOPHER R SITANGGANG,3
BENNY,0
BENNY MAKULAWU WIDJAJA,1
BENNY RACHMAT,1
BENNY REDJO SETYONO,0
BENNY S SANTOSO,3
BENNY SETIAWAN SANTOSO,3
BENNY SOETRISNO,3
BENNY SUDARSONO TAN,3
BENNY SUHERMAN,0
BENNY SURYANTO,3
BENNY TJOKROSAPUTRO,0
BENNY WENDRY,3
BENNY WIDJAJA,1
BENNY YONK,0
BENYAMIN IRWANSYAH SADIKIN,2
BERITO PANGAN MAKMUR,3
BERLIAN LAJU TANKER TBK,3
BERLINA TBK,1
BERNADETHA MELINDA KIRANA PUTRI,0
BERNARD THEDYARDI,3
BERNHARD AGUS SUBIAKTO,3
BERRY PERDANA PUTRA,1
BERY,1
BESFUL ZUBIR,0
BETESDA SITUMORANG,1
BETONJAYA MANUNGGAL TBK,0
BFI FINANCE INDONESIA TBK,0
BHARAT SHAH JOSHI,3
BHAVIN PATEL,1
BHUWANATALA INDAH PERMAI TBK,0
BIANTORO SETIJO,3
BIANTORO WANANDI,1
BILLY DAHLAN,1
BILLY HARTONO SALIM,1
BILLY KURNIAWAN,1
BILLY PERKASA,1
BILLY SABARTO,1
BILLY SANTOSO LIE,1
BIMO SETIAWAN,0
BIMO WIDHIATMOKO,1
BIN NAHADI,3
BING HARTONO POERNOMOSIDI,2
BINGAR EGIDIUS SITUMORANG,0
BINSAR PARASIAN SIMORANGKIR,2
BINTAN REGEN SARAGIH,3
BINTANG JAYA,3
BINTANG MITRA SEMESTARAYA TBK,1
BISI INTERNATIONAL TBK,1
BISIR,1
BOB BUDIONO,1
BOB SUGIARTO,1
BOB TYASIKA ANANTA,1
BOBBY HENRY NOYA,1
BOBBY RANGGA REZKI,1
BOBY ARISANTO,1
BOEDI WIHARDJO,0
BOEDIMAN SOEKRISMAN,0
BOENJAMIN SETIAWAN,0
BOGAT AGUS RIYONO,0
BONA BUDHISURYA,1
BONAR PAULUS SALOMO SCHULZ,0
BONAVENTURA WIMATAMA KURNIAWAN,0
BONG TJI DJUNG,1
BONIE GUIDO,3
BONNY HARRY,0
BOONYARIT JAIYA,3
BORYIN WU,1
BOY ARDHITYA LUKITO,0
BOY BERNADI SADIKIN,2
BOYKE LUKMAN,1
BOYKE POERBAYA ABAIDIN,1
BOYKE WANGGE GOZALI,3
BP USLI,1
BRAM VAN HOOF,1
BRATA TARUNA HARDJOSUBROTO,0
BRATA YOS KUSMAH,3
BRATANATA PERDANA,0
BRATHA,0
BRIAN CHARLES BENNET,1
BRYAN DAVID EMIL,1
BS VINAYAK,0
BUANA FINANCE TBK,1
BUBUN HASBULLAH,2
BUDHI HARTONO,3
BUDHI MOELJONO,3
BUDHI SANTOSO,3
BUDHIARTO GUNAWAN,0
BUDHIHARDJA SUHANDYNATA,0
BUDI AMAL,0
BUDI ARISTANTO,0
BUDI AZMI,3
BUDI CHENJAYA,1
BUDI FIANTO BUNA,1
BUDI GOMULIA,1
BUDI GUNAWAN,0
BUDI HADIDJAJA,1
BUDI KUSUMA,0
BUDI MARDIONO,0
BUDI PRANOTO SEPUTRA,1
BUDI PURNOMO HADISURJO,3
BUDI PURNOMO SUDIRO,0
BUDI SANTOSO SAROYO,0
BUDI SANTOSO SIMIN,1
BUDI SETIAWAN,0
BUDI SETIAWAN HALIM,3
BUDI SIALLAGAN,1
BUDI SISWANTO,1
BUDI SUSANTO,0
BUDI SUSILO,1
BUDI SUTRISNO,1
BUDI WIJAYA,2
BUDI YANTO LUSLI,1
BUDIANTO,0
BUDIANTO HALIM SAPUTRO,1
BUDIANTO PURWAHJO,0
BUDIARTO ABADI,1
